service_id,date,exception_type
12M_S,20120402,1
12M_S,20120403,1
12M_S,20120404,1
12M_S,20120405,1
12M_F1,20120406,1
12M_A,20120407,1
12M_I,20120408,1
12M_F2,20120409,1
12M_S,20120410,1
12M_S,20120411,1
12M_S,20120412,1
12M_S,20120413,1
12M_A,20120414,1
12M_I,20120415,1
12M_S,20120416,1
12M_S,20120417,1
12M_S,20120418,1
12M_S,20120419,1
12J_S,20120109,1
12J_S,20120110,1
12J_S,20120111,1
12J_S,20120112,1
12J_S,20120113,1
12J_A,20120114,1
12J_I,20120115,1
12J_S,20120116,1
12J_S,20120117,1
12J_S,20120118,1
12J_S,20120119,1
12J_S,20120120,1
12J_A,20120121,1
12J_I,20120122,1
12J_S,20120123,1
12J_S,20120124,1
12J_S,20120125,1
12J_S,20120126,1
12J_S,20120127,1
12J_A,20120128,1
12J_I,20120129,1
12J_S,20120130,1
12J_S,20120131,1
12J_S,20120201,1
12J_S,20120202,1
12J_S,20120203,1
12J_A,20120204,1
12J_I,20120205,1
12J_S,20120206,1
12J_S,20120207,1
12J_S,20120208,1
12J_S,20120209,1
12J_S,20120210,1
12J_A,20120211,1
12J_I,20120212,1
12J_S,20120213,1
12J_S,20120214,1
12J_S,20120215,1
12J_S,20120216,1
12J_S,20120217,1
12J_A,20120218,1
12J_I,20120219,1
12J_S,20120220,1
12J_S,20120221,1
12J_S,20120222,1
12J_S,20120223,1
12J_S,20120224,1
12J_A,20120225,1
12J_I,20120226,1
12J_S,20120227,1
12J_S,20120228,1
12J_S,20120229,1
12J_S,20120301,1
12J_S,20120302,1
12J_A,20120303,1
12J_I,20120304,1
12J_S,20120305,1
12J_S,20120306,1
12J_S,20120307,1
12J_S,20120308,1
12J_S,20120309,1
12J_A,20120310,1
12J_I,20120311,1
12J_S,20120312,1
12J_S,20120313,1
12J_S,20120314,1
12J_S,20120315,1
12J_S,20120316,1
12J_A,20120317,1
12J_I,20120318,1
12J_S,20120319,1
12J_S,20120320,1
12J_S,20120321,1
12J_S,20120322,1
12J_S,20120323,1
12J_A,20120324,1
12J_I,20120325,1
12J_S,20120326,1
12J_S,20120327,1
12J_S,20120328,1
12J_S,20120329,1
12J_S,20120330,1
12J_A,20120331,1
12J_I,20120401,1
12M_S,20120420,1
12M_A,20120421,1
12M_I,20120422,1
12M_S,20120423,1
12M_S,20120424,1
12M_S,20120425,1
12M_S,20120426,1
12M_S,20120427,1
12M_A,20120428,1
12M_I,20120429,1
12M_S,20120430,1
12M_S,20120501,1
12M_S,20120502,1
12M_S,20120503,1
12M_S,20120504,1
12M_A,20120505,1
12M_I,20120506,1
12M_S,20120507,1
12M_S,20120508,1
12M_S,20120509,1
12M_S,20120510,1
12M_S,20120511,1
12M_A,20120512,1
12M_I,20120513,1
12M_S,20120514,1
12M_S,20120515,1
12M_S,20120516,1
12M_S,20120517,1
12M_S,20120518,1
12M_A,20120519,1
12M_I,20120520,1
12M_F3,20120521,1
12M_S,20120522,1
12M_S,20120523,1
12M_S,20120524,1
12M_S,20120525,1
12M_A,20120526,1
12M_I,20120527,1
12M_S,20120528,1
12M_S,20120529,1
12M_S,20120530,1
12M_S,20120531,1
12M_S,20120601,1
12M_A,20120602,1
12M_I,20120603,1
12M_S,20120604,1
12M_S,20120605,1
12M_S,20120606,1
12M_S,20120607,1
12M_S,20120608,1
12M_A,20120609,1
12M_I,20120610,1
12M_S,20120611,1
12M_S,20120612,1
12M_S,20120613,1
12M_S,20120614,1
12M_S,20120615,1
12M_A,20120616,1
12M_I,20120617,1
12M_S,20120618,1
12M_S,20120619,1
12M_S,20120620,1
12M_S,20120621,1
12M_S,20120622,1
12M_A,20120623,1
12M_I,20120624,1
