trip_id,start_time,end_time,headway_secs
12J_12J_S_1_1_0.22917,05:30:00,05:40:00,600
12J_12J_S_1_29_1.01806,23:57:30,24:09:45,735
12J_12J_S_1_32_1.02639,23:57:30,24:09:45,735
12J_12J_S_1_29_0.98333,23:31:30,24:03:00,630
12J_12J_S_1_32_0.99028,23:31:30,24:03:00,630
12J_12J_S_1_34_0.99792,23:31:30,24:03:00,630
12J_12J_S_1_37_1.00625,23:31:30,24:03:00,630
12J_12J_S_1_27_0.71042,17:03:00,17:10:00,210
12J_12J_S_1_23_0.22917,05:30:00,05:40:00,600
12J_12J_S_1_3_1.01528,23:31:30,24:03:00,630
12J_12J_S_1_13_1.00208,23:57:30,24:09:45,735
12J_12J_S_1_12_1.02431,23:31:30,24:03:00,630
12J_12J_S_1_16_1.00972,23:57:30,24:09:45,735
12J_12J_S_2_38_1.02292,22:40:20,24:39:00,470
12J_12J_S_2_42_0.26667,06:24:00,06:30:30,390
12J_12J_S_2_38_0.94792,22:40:20,24:39:00,470
12J_12J_S_2_39_0.95208,22:40:20,24:39:00,470
12J_12J_S_2_48_1.00000,23:57:55,24:21:55,480
12J_12J_S_2_35_0.22500,05:24:00,06:18:00,480
12J_12J_S_2_45_0.95625,22:40:20,24:39:00,470
12J_12J_S_2_52_1.00694,23:57:55,24:21:55,480
12J_12J_S_2_47_0.96111,22:40:20,24:39:00,470
12J_12J_S_2_48_0.96528,22:40:20,24:39:00,470
12J_12J_S_2_54_1.01389,23:57:55,24:21:55,480
12J_12J_S_2_14_0.37917,09:06:00,09:09:25,205
12J_12J_S_2_52_0.97014,22:40:20,24:39:00,470
12J_12J_S_2_4_1.02083,23:57:55,24:21:55,480
12J_12J_S_2_53_0.97431,22:40:20,24:39:00,470
12J_12J_S_2_54_0.97847,22:40:20,24:39:00,470
12J_12J_S_2_4_0.98403,22:40:20,24:39:00,470
12J_12J_S_2_10_0.99028,22:40:20,24:39:00,470
12J_12J_S_2_15_0.99653,22:40:20,24:39:00,470
12J_12J_S_2_21_1.00347,22:40:20,24:39:00,470
12J_12J_S_2_22_0.67778,16:16:00,16:57:15,165
12J_12J_S_2_48_0.82292,19:45:00,19:51:30,360
12J_12J_S_2_26_0.35764,08:35:00,08:38:15,180
12J_12J_S_2_29_1.00972,22:40:20,24:39:00,470
12J_12J_S_2_36_1.01597,22:40:20,24:39:00,470
12J_12J_S_2_11_0.22917,05:30:00,06:10:00,480
12J_12J_S_4_41_0.22917,05:30:00,06:20:00,600
12J_12J_S_4_41_0.26389,06:20:00,06:38:00,360
12J_12J_S_4_41_0.62500,15:00:00,15:18:00,360
12J_12J_S_4_41_0.83333,19:50:00,25:00:00,600
12J_12J_S_4_41_0.84028,20:00:00,25:00:00,600
12J_12J_S_4_41_0.84722,19:50:00,25:00:00,600
12J_12J_S_4_41_0.85417,20:00:00,25:00:00,600
12J_12J_S_4_41_0.86111,19:50:00,25:00:00,600
12J_12J_S_4_41_0.86806,20:00:00,25:00:00,600
12J_12J_S_4_41_0.87500,19:50:00,25:00:00,600
12J_12J_S_4_41_0.88194,20:00:00,25:00:00,600
12J_12J_S_4_41_0.88889,19:50:00,25:00:00,600
12J_12J_S_4_41_0.89583,20:00:00,25:00:00,600
12J_12J_S_4_41_0.90278,19:50:00,25:00:00,600
12J_12J_S_4_41_0.90972,20:00:00,25:00:00,600
12J_12J_S_4_41_0.91667,19:50:00,25:00:00,600
12J_12J_S_4_41_0.92361,20:00:00,25:00:00,600
12J_12J_S_4_41_0.93056,19:50:00,25:00:00,600
12J_12J_S_4_41_0.93750,20:00:00,25:00:00,600
12J_12J_S_4_41_0.94444,19:50:00,25:00:00,600
12J_12J_S_4_41_0.95139,20:00:00,25:00:00,600
12J_12J_S_4_41_0.95833,19:50:00,25:00:00,600
12J_12J_S_4_41_0.96528,20:00:00,25:00:00,600
12J_12J_S_4_41_0.97222,19:50:00,25:00:00,600
12J_12J_S_4_41_0.97917,20:00:00,25:00:00,600
12J_12J_S_4_41_0.98611,19:50:00,25:00:00,600
12J_12J_S_4_41_0.99306,20:00:00,25:00:00,600
12J_12J_S_4_41_1.00000,19:50:00,25:00:00,600
12J_12J_S_4_41_1.00694,20:00:00,25:00:00,600
12J_12J_S_4_41_1.01389,19:50:00,25:00:00,600
12J_12J_S_4_41_1.02083,20:00:00,25:00:00,600
12J_12J_S_4_41_1.02778,19:50:00,25:00:00,600
12J_12J_S_4_41_1.03472,20:00:00,25:00:00,600
12J_12J_S_4_41_1.04167,19:50:00,25:00:00,600
12J_12J_S_4_41_1.04861,20:00:00,25:00:00,600
12J_12J_S_4_42_0.27639,06:38:00,06:54:30,330
12J_12J_S_4_44_0.22917,05:30:00,06:20:00,600
12J_12J_S_4_44_0.26389,06:20:00,06:38:00,360
12J_12J_S_4_44_0.40278,09:40:00,15:00:00,600
12J_12J_S_4_44_0.62500,15:00:00,15:07:00,420
12J_12J_S_4_44_0.82639,19:50:00,25:00:00,600
12J_12J_S_4_44_0.84028,19:50:00,25:00:00,600
12J_12J_S_4_44_0.84722,20:00:00,25:00:00,600
12J_12J_S_4_44_0.85417,19:50:00,25:00:00,600
12J_12J_S_4_44_0.86111,20:00:00,25:00:00,600
12J_12J_S_4_44_0.86806,19:50:00,25:00:00,600
12J_12J_S_4_44_0.87500,20:00:00,25:00:00,600
12J_12J_S_4_44_0.88194,19:50:00,25:00:00,600
12J_12J_S_4_44_0.88889,20:00:00,25:00:00,600
12J_12J_S_4_44_0.89583,19:50:00,25:00:00,600
12J_12J_S_4_44_0.90278,20:00:00,25:00:00,600
12J_12J_S_4_44_0.90972,19:50:00,25:00:00,600
12J_12J_S_4_44_0.91667,20:00:00,25:00:00,600
12J_12J_S_4_44_0.92361,19:50:00,25:00:00,600
12J_12J_S_4_44_0.93056,20:00:00,25:00:00,600
12J_12J_S_4_44_0.93750,19:50:00,25:00:00,600
12J_12J_S_4_44_0.94444,20:00:00,25:00:00,600
12J_12J_S_4_44_0.95139,19:50:00,25:00:00,600
12J_12J_S_4_44_0.95833,20:00:00,25:00:00,600
12J_12J_S_4_44_0.96528,19:50:00,25:00:00,600
12J_12J_S_4_44_0.97222,20:00:00,25:00:00,600
12J_12J_S_4_44_0.97917,19:50:00,25:00:00,600
12J_12J_S_4_44_0.98611,20:00:00,25:00:00,600
12J_12J_S_4_44_0.99306,19:50:00,25:00:00,600
12J_12J_S_4_44_1.00000,20:00:00,25:00:00,600
12J_12J_S_4_44_1.00694,19:50:00,25:00:00,600
12J_12J_S_4_44_1.01389,20:00:00,25:00:00,600
12J_12J_S_4_44_1.02083,19:50:00,25:00:00,600
12J_12J_S_4_44_1.02778,20:00:00,25:00:00,600
12J_12J_S_4_44_1.03472,19:50:00,25:00:00,600
12J_12J_S_4_44_1.04167,20:00:00,25:00:00,600
12J_12J_S_4_45_0.27639,06:38:00,06:43:15,315
12J_12J_S_5_1_0.22917,05:30:00,05:51:00,630
12J_12J_S_5_5_0.99444,23:22:20,24:06:05,525
12J_12J_S_5_11_0.98264,23:22:20,24:06:05,525
12J_12J_S_5_2_0.98889,23:22:20,24:06:05,525
12J_12J_S_5_7_1.00208,23:22:20,24:06:05,525
12J_12J_S_5_8_1.01042,23:22:20,24:06:05,525
12J_12J_S_5_8_0.97639,23:22:20,24:06:05,525
12J_12J_A_1_1_0.22917,05:30:00,07:25:30,630
12J_12J_A_1_1_0.95208,21:22:50,24:01:30,560
12J_12J_A_1_5_0.99444,23:19:30,24:54:00,630
12J_12J_A_1_7_0.91389,21:22:50,24:01:30,560
12J_12J_A_1_13_1.00833,21:22:50,24:01:30,560
12J_12J_A_1_1_1.04722,23:19:30,24:54:00,630
12J_12J_A_1_9_0.92014,21:22:50,24:01:30,560
12J_12J_A_1_10_0.92639,21:22:50,24:01:30,560
12J_12J_A_1_1_1.01528,21:22:50,24:01:30,560
12J_12J_A_1_11_0.93264,21:22:50,24:01:30,560
12J_12J_A_1_13_0.97500,23:19:30,24:54:00,630
12J_12J_A_1_12_0.93889,21:22:50,24:01:30,560
12J_12J_A_1_1_0.98125,23:19:30,24:54:00,630
12J_12J_A_1_3_1.02292,21:22:50,24:01:30,560
12J_12J_A_1_13_0.94583,21:22:50,24:01:30,560
12J_12J_A_1_3_0.98750,23:19:30,24:54:00,630
12J_12J_A_1_6_1.02986,21:22:50,24:01:30,560
12J_12J_A_1_3_0.95833,21:22:50,24:01:30,560
12J_12J_A_1_6_1.00069,23:19:30,24:54:00,630
12J_12J_A_1_7_1.03750,21:22:50,24:01:30,560
12J_12J_A_1_5_0.96528,21:22:50,24:01:30,560
12J_12J_A_1_6_0.97153,21:22:50,24:01:30,560
12J_12J_A_1_7_1.00833,23:19:30,24:54:00,630
12J_12J_A_1_10_1.04514,21:22:50,24:01:30,560
12J_12J_A_1_7_0.97917,21:22:50,24:01:30,560
12J_12J_A_1_10_1.01597,23:19:30,24:54:00,630
12J_12J_A_1_3_0.89653,21:22:50,24:01:30,560
12J_12J_A_1_10_0.98611,21:22:50,24:01:30,560
12J_12J_A_1_11_1.02361,23:19:30,24:54:00,630
12J_12J_A_1_5_0.90208,21:22:50,24:01:30,560
12J_12J_A_1_11_0.99375,21:22:50,24:01:30,560
12J_12J_A_1_12_1.03125,23:19:30,24:54:00,630
12J_12J_A_1_7_0.22917,05:30:00,08:07:30,630
12J_12J_A_1_6_0.90833,21:22:50,24:01:30,560
12J_12J_A_1_12_1.00069,21:22:50,24:01:30,560
12J_12J_A_1_13_1.03889,23:19:30,24:54:00,630
12J_12J_A_2_10_1.02778,23:18:30,24:08:30,600
12J_12J_A_2_10_0.55139,13:14:00,18:47:40,385
