route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1,STM,1,VERTE,1,http://www.stm.info/metro/frequence.htm#ligne1,00B300,000000
2,STM,2,ORANGE,1,http://www.stm.info/metro/frequence.htm#ligne2,D95700,000000
4,STM,4,JAUNE,1,http://www.stm.info/metro/frequence.htm#ligne4,FFD900,000000
5,STM,5,BLEU,1,http://www.stm.info/metro/frequence.htm#ligne5,0095E6,000000
10,STM,10,De Lorimier,3,http://www.stm.info/bus/geomet/geo10.htm,,
11,STM,11,Montagne,3,http://www.stm.info/bus/geomet/geo11.htm,,
12,STM,12,Île-des-Soeurs,3,http://www.stm.info/bus/geomet/geo12.htm,,
13,STM,13,Christophe-Colomb,3,http://www.stm.info/bus/geomet/geo13.htm,,
14,STM,14,Amherst,3,http://www.stm.info/bus/geomet/geo14.htm,,
15,STM,15,Sainte-Catherine,3,http://www.stm.info/bus/geomet/geo15.htm,,
16,STM,16,Graham,3,http://www.stm.info/bus/geomet/geo16.htm,,
17,STM,17,Décarie,3,http://www.stm.info/bus/geomet/geo17.htm,,
18,STM,18,Beaubien,3,http://www.stm.info/bus/geomet/geo18.htm,,
19,STM,19,Chabanel / Marché Central,3,http://www.stm.info/bus/geomet/geo19.htm,,
21,STM,21,Place du Commerce,3,http://www.stm.info/bus/geomet/geo21.htm,,
22,STM,22,Notre-Dame,3,http://www.stm.info/bus/geomet/geo22.htm,,
23,STM,23,Navette Notre-Dame-de-Grâce,3,http://www.stm.info/bus/geomet/geo23.htm,,
24,STM,24,Sherbrooke,3,http://www.stm.info/bus/geomet/geo24.htm,,
25,STM,25,Angus,3,http://www.stm.info/bus/geomet/geo25.htm,,
26,STM,26,Mercier-Est,3,http://www.stm.info/bus/geomet/geo26.htm,,
27,STM,27,Saint-Joseph,3,http://www.stm.info/bus/geomet/geo27.htm,,
28,STM,28,Honoré-Beaugrand,3,http://www.stm.info/bus/geomet/geo28.htm,,
29,STM,29,Rachel,3,http://www.stm.info/bus/geomet/geo29.htm,,
30,STM,30,Saint-Denis/Saint-Hubert,3,http://www.stm.info/bus/geomet/geo30.htm,,
31,STM,31,Saint-Denis,3,http://www.stm.info/bus/geomet/geo31.htm,,
32,STM,32,Lacordaire,3,http://www.stm.info/bus/geomet/geo32.htm,,
33,STM,33,Langelier,3,http://www.stm.info/bus/geomet/geo33.htm,,
34,STM,34,Sainte-Catherine,3,http://www.stm.info/bus/geomet/geo34.htm,,
35,STM,35,Notre-Dame,3,http://www.stm.info/bus/geomet/geo35.htm,,
36,STM,36,Monk,3,http://www.stm.info/bus/geomet/geo36.htm,,
37,STM,37,Jolicoeur,3,http://www.stm.info/bus/geomet/geo37.htm,,
38,STM,38,Ville Marie,3,http://www.stm.info/bus/geomet/geo38.htm,,
39,STM,39,Des Grandes-Prairies,3,http://www.stm.info/bus/geomet/geo39.htm,,
40,STM,40,Henri-Bourassa,3,http://www.stm.info/bus/geomet/geo40.htm,,
41,STM,41,Quartier St-Michel / Ahuntsic,3,http://www.stm.info/bus/geomet/geo41.htm,,
43,STM,43,Monselet,3,http://www.stm.info/bus/geomet/geo43.htm,,
