shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
12M-117-01-N,45.528476,-73.700582,21
12M-164-01-E,45.528362,-73.700844,36
12M-365-01-S,45.537229,-73.700193,10
12M-180-JO-E,45.537229,-73.700193,10
12M-69-01-E,45.541742,-73.698916,14
12M-365-01-N,45.539182,-73.697812,62
12M-180-JO-O,45.539182,-73.697812,22
12M-164-01-E,45.531017,-73.697457,38
12M-69-01-O,45.541072,-73.695623,63
12M-164-01-E,45.533504,-73.694295,39
12M-164-01-O,45.534753,-73.693004,18
12M-164-01-O,45.536584,-73.69067,17
12M-365-01-N,45.537947,-73.688544,57
12M-180-JO-O,45.537947,-73.688544,19
12M-179-01-N,45.537947,-73.688544,32
12M-164-01-E,45.537675,-73.688947,42
12M-69-01-E,45.547443,-73.683831,21
12M-69-01-O,45.54802,-73.680583,56
12M-365-01-N,45.534324,-73.680533,55
12M-179-01-N,45.534324,-73.680533,30
12M-380-01-O,45.536508,-73.67975,72
12M-180-JO-O,45.536508,-73.67975,16
12M-171-01-O,45.536508,-73.67975,13
12M-164-01-E,45.538055,-73.67922,46
12M-69-01-O,45.549709,-73.67683,54
12M-69-01-O,45.550813,-73.675265,53
12M-69-01-E,45.550521,-73.675398,25
12M-380-01-O,45.543592,-73.675368,69
12M-171-01-O,45.543592,-73.675368,10
12M-164-01-O,45.543592,-73.675368,11
12M-380-01-O,45.54464,-73.674639,68
12M-171-01-O,45.54464,-73.674639,9
12M-164-01-O,45.54464,-73.674639,10
12M-69-01-E,45.551149,-73.674001,26
12M-380-01-O,45.547033,-73.673149,66
12M-171-01-O,45.547033,-73.673149,7
12M-164-01-O,45.547033,-73.673149,8
12M-69-01-E,45.550533,-73.671935,27
12M-380-01-E,45.550139,-73.67073,26
12M-171-01-E,45.550139,-73.67073,38
12M-164-01-E,45.550139,-73.67073,53
12M-180-JO-O,45.541829,-73.669108,11
12M-380-01-O,45.555541,-73.668233,61
12M-69-01-O,45.555541,-73.668233,48
12M-380-LC-E,45.556076,-73.667454,1
12M-380-01-E,45.556076,-73.667454,30
12M-69-01-E,45.556076,-73.667454,31
12M-146-SW-O,45.540926,-73.667898,34
12M-146-LC-O,45.540926,-73.667898,18
12M-146-JO-O,45.540926,-73.667898,32
12M-363-01-S,45.549412,-73.668145,6
12M-53-01-S,45.549412,-73.668145,6
12M-180-JO-O,45.5439,-73.667782,10
12M-180-JO-O,45.54582,-73.666583,9
12M-180-JO-E,45.546855,-73.665808,26
12M-380-01-O,45.561205,-73.665418,59
12M-146-SW-E,45.561205,-73.665418,34
12M-146-JO-E,45.561205,-73.665418,34
12M-69-01-O,45.561205,-73.665418,46
12M-380-LC-E,45.561504,-73.664668,4
12M-380-01-E,45.561504,-73.664668,33
12M-146-SW-O,45.561504,-73.664668,4
12M-146-JO-O,45.561504,-73.664668,2
12M-69-01-E,45.561504,-73.664668,34
12M-363-01-N,45.548565,-73.664659,47
12M-53-01-N,45.548565,-73.664659,13
12M-363-01-S,45.548448,-73.665081,7
12M-53-01-S,45.548448,-73.665081,7
12M-146-SW-O,45.540179,-73.6639,32
12M-146-LC-O,45.540179,-73.6639,15
12M-146-JO-O,45.540179,-73.6639,30
12M-378-01-O,45.541688,-73.663499,28
12M-121-01-O,45.541688,-73.663499,28
12M-378-01-E,45.542596,-73.66271,73
12M-121-01-E,45.542596,-73.66271,29
12M-363-01-S,45.547741,-73.662709,8
12M-53-01-S,45.547741,-73.662709,8
12M-380-01-O,45.564252,-73.661773,57
12M-69-01-O,45.564252,-73.661773,44
12M-380-01-O,45.565548,-73.66107,56
12M-69-01-O,45.565548,-73.66107,43
12M-140-01-O,45.55501,-73.661116,42
12M-41-01-O,45.55501,-73.661116,56
12M-140-01-E,45.554631,-73.661132,8
12M-378-01-E,45.544305,-73.661402,74
12M-121-01-E,45.544305,-73.661402,30
12M-378-01-O,45.545519,-73.660867,25
12M-121-01-O,45.545519,-73.660867,25
12M-45-01-N,45.572131,-73.659875,46
12M-56-01-N,45.556342,-73.660014,6
12M-41-01-E,45.556342,-73.660014,7
12M-30-01-N,45.556342,-73.660014,44
12M-56-01-S,45.556287,-73.660447,5
12M-30-01-S,45.556287,-73.660447,5
12M-378-01-E,45.547426,-73.659313,76
12M-121-01-E,45.547426,-73.659313,32
12M-140-01-O,45.558515,-73.659051,40
12M-41-01-O,45.558515,-73.659051,54
12M-382-01-E,45.498809,-73.660894,116
12M-371-01-S,45.498809,-73.660894,37
12M-368-01-E,45.498809,-73.660894,22
12M-17-01-S,45.498809,-73.660894,14
12M-361-01-N,45.55257,-73.658657,53
12M-180-JO-O,45.55257,-73.658657,3
12M-140-01-E,45.55257,-73.658657,6
12M-31-01-N,45.55257,-73.658657,22
12M-378-01-E,45.548426,-73.658675,77
12M-121-01-E,45.548426,-73.658675,33
12M-54-01-E,45.5309,-73.658441,15
12M-380-01-O,45.573066,-73.657296,51
12M-69-01-O,45.573066,-73.657296,38
12M-49-AM-O,45.573066,-73.657296,50
12M-49-01-O,45.573066,-73.657296,62
12M-48-GC-O,45.573066,-73.657296,50
12M-48-GB-O,45.573066,-73.657296,47
12M-48-AC-O,45.573066,-73.657296,46
12M-48-AB-O,45.573066,-73.657296,42
12M-146-SW-E,45.561163,-73.657122,31
12M-146-JO-E,45.561163,-73.657122,31
