stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
102831,50213,O'Brien / Dudemaine,45.528476,-73.700582,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50213
102834,50216,Dudemaine / O'Brien,45.528362,-73.700844,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50216
102844,50218,De Salaberry / De Poutrincourt,45.537229,-73.700193,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50218
102853,50220,de l'Acadie / Viel,45.541742,-73.698916,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50220
102882,50225,De Salaberry / Taylor,45.539182,-73.697812,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50225
102895,50227,Dudemaine / Jean-Massé,45.531017,-73.697457,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50227
102912,50230,De Salaberry / de l'Acadie,45.541072,-73.695623,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50230
102945,50237,Dudemaine / De Poutrincourt,45.533504,-73.694295,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50237
102962,50240,Dudemaine / James-Morrice,45.534753,-73.693004,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50240
102992,50244,Dudemaine / Pasteur,45.536584,-73.690670,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50244
103001,50246,de l'Acadie / Dudemaine,45.537947,-73.688544,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50246
103004,50248,Dudemaine / de l'Acadie,45.537675,-73.688947,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50248
103034,50254,Gouin / Tanguay,45.547443,-73.683831,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50254
103052,50257,Gouin / Jeanne-Mance,45.548020,-73.680583,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50257
103061,50259,de l'Acadie / Henri-Bourassa,45.534324,-73.680533,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50259
103072,50264,Henri-Bourassa / Marcelin-Wilson,45.536508,-73.679750,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50264
103093,50269,du Bois-de-Boulogne / Henri-Bourassa,45.538055,-73.679220,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50269
103102,50271,Gouin / Waverly,45.549709,-73.676830,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50271
103132,50274,Gouin / Clark,45.550813,-73.675265,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50274
103134,50275,Gouin / Clark,45.550521,-73.675398,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50275
103142,50277,Henri-Bourassa / Meilleur,45.543592,-73.675368,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50277
103152,50279,Henri-Bourassa / Tanguay,45.544640,-73.674639,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50279
