service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1203-Trains-Saturday-99,0,0,0,0,0,1,0,20120331,20120622
1203-Trains-Sunday-99,0,0,0,0,0,0,1,20120331,20120622
1203-Trains-Weekday-99,1,1,1,1,1,0,0,20120331,20120622
1203-Trips-Saturday-01,0,0,0,0,0,1,0,20120331,20120421
1203-Trips-Saturday-02,0,0,0,0,0,1,0,20120422,20120505
1203-Trips-Saturday-21,0,0,0,0,0,1,0,20120506,20120622
1203-Trips-Sunday-01,0,0,0,0,0,0,1,20120331,20120421
1203-Trips-Sunday-02,0,0,0,0,0,0,1,20120422,20120428
1203-Trips-Sunday-03,0,0,0,0,0,0,1,20120429,20120505
1203-Trips-Sunday-04,0,0,0,0,1,0,0,20120406,20120406
1203-Trips-Sunday-20,0,0,0,0,0,0,1,20120506,20120610
1203-Trips-Sunday-21,0,0,0,0,0,0,1,20120611,20120622
1203-Trips-Weekday-01,1,1,1,1,1,0,0,20120331,20120404
1203-Trips-Weekday-01-0000100,0,0,0,0,1,0,0,20120331,20120404
1203-Trips-Weekday-01-0001100,0,0,0,1,1,0,0,20120331,20120404
1203-Trips-Weekday-01-1110000,1,1,1,0,0,0,0,20120331,20120404
1203-Trips-Weekday-01-1111000,1,1,1,1,0,0,0,20120331,20120404
1203-Trips-Weekday-02,1,1,1,1,1,0,0,20120405,20120405
1203-Trips-Weekday-02-0001000,0,0,0,1,0,0,0,20120405,20120405
1203-Trips-Weekday-02-0001100,0,0,0,1,1,0,0,20120405,20120405
1203-Trips-Weekday-02-1111000,1,1,1,1,0,0,0,20120405,20120405
1203-Trips-Weekday-03,1,1,1,1,1,0,0,20120409,20120413
1203-Trips-Weekday-03-0000100,0,0,0,0,1,0,0,20120409,20120413
1203-Trips-Weekday-03-0001100,0,0,0,1,1,0,0,20120409,20120413
1203-Trips-Weekday-03-1110000,1,1,1,0,0,0,0,20120409,20120413
1203-Trips-Weekday-03-1111000,1,1,1,1,0,0,0,20120409,20120413
1203-Trips-Weekday-04,1,1,1,1,1,0,0,20120416,20120420
1203-Trips-Weekday-04-0000100,0,0,0,0,1,0,0,20120416,20120420
1203-Trips-Weekday-04-0001100,0,0,0,1,1,0,0,20120416,20120420
1203-Trips-Weekday-04-1110000,1,1,1,0,0,0,0,20120416,20120420
1203-Trips-Weekday-04-1111000,1,1,1,1,0,0,0,20120416,20120420
1203-Trips-Weekday-05,1,1,1,1,1,0,0,20120423,20120427
1203-Trips-Weekday-05-0000100,0,0,0,0,1,0,0,20120423,20120427
1203-Trips-Weekday-05-0001100,0,0,0,1,1,0,0,20120423,20120427
1203-Trips-Weekday-05-1110000,1,1,1,0,0,0,0,20120423,20120427
1203-Trips-Weekday-05-1111000,1,1,1,1,0,0,0,20120423,20120427
1203-Trips-Weekday-06,1,1,1,1,1,0,0,20120430,20120516
1203-Trips-Weekday-06-0000100,0,0,0,0,1,0,0,20120430,20120516
1203-Trips-Weekday-06-0001100,0,0,0,1,1,0,0,20120430,20120516
1203-Trips-Weekday-06-1110000,1,1,1,0,0,0,0,20120430,20120516
1203-Trips-Weekday-06-1111000,1,1,1,1,0,0,0,20120430,20120516
1203-Trips-Weekday-20,1,1,1,1,1,0,0,20120607,20120621
1203-Trips-Weekday-20-0000100,0,0,0,0,1,0,0,20120607,20120621
1203-Trips-Weekday-20-0001100,0,0,0,1,1,0,0,20120607,20120621
1203-Trips-Weekday-20-1110000,1,1,1,0,0,0,0,20120607,20120621
1203-Trips-Weekday-20-1111000,1,1,1,1,0,0,0,20120607,20120621
1203-Trips-Weekday-21,1,1,1,1,1,0,0,20120622,20120622
1203-Trips-Weekday-21-0000100,0,0,0,0,1,0,0,20120622,20120622
1203-Trips-Weekday-21-0001100,0,0,0,1,1,0,0,20120622,20120622
1203-Trips-Weekday-23,1,1,1,1,1,0,0,20120517,20120606
1203-Trips-Weekday-23-0000100,0,0,0,0,1,0,0,20120517,20120606
1203-Trips-Weekday-23-0001100,0,0,0,1,1,0,0,20120517,20120606
1203-Trips-Weekday-23-1110000,1,1,1,0,0,0,0,20120517,20120606
1203-Trips-Weekday-23-1111000,1,1,1,1,0,0,0,20120517,20120606
