service_id,date,exception_type
1203-Trains-Saturday-98,20120519,1
1203-Trains-Saturday-99,20120519,2
1203-Trains-Sunday-98,20120520,1
1203-Trains-Sunday-98,20120521,1
1203-Trains-Sunday-99,20120406,1
1203-Trains-Sunday-99,20120520,2
1203-Trains-Weekday-98,20120518,1
1203-Trains-Weekday-98-0000100,20120518,1
1203-Trains-Weekday-99,20120406,2
1203-Trains-Weekday-99,20120518,2
1203-Trains-Weekday-99,20120521,2
1203-Trips-Sunday-04,20120406,1
1203-Trips-Sunday-05,20120521,1
1203-Trips-Sunday-20,20120520,2
1203-Trips-Sunday-21,20120520,1
1203-Trips-Weekday-01,20120406,2
1203-Trips-Weekday-01-0000100,20120406,2
1203-Trips-Weekday-01-0001100,20120406,2
1203-Trips-Weekday-01-1110000,20120406,2
1203-Trips-Weekday-01-1111000,20120406,2
1203-Trips-Weekday-06,20120511,2
1203-Trips-Weekday-06-0000100,20120511,2
1203-Trips-Weekday-06-0001100,20120511,2
1203-Trips-Weekday-06-0001100,20120518,1
1203-Trips-Weekday-06-1110000,20120511,2
1203-Trips-Weekday-06-1111000,20120511,2
1203-Trips-Weekday-20,20120511,1
1203-Trips-Weekday-20,20120518,1
1203-Trips-Weekday-20,20120601,1
1203-Trips-Weekday-20,20120615,2
1203-Trips-Weekday-20-0000100,20120511,1
1203-Trips-Weekday-20-0000100,20120518,1
1203-Trips-Weekday-20-0000100,20120601,1
1203-Trips-Weekday-20-0000100,20120615,2
1203-Trips-Weekday-20-0001100,20120511,1
1203-Trips-Weekday-20-0001100,20120601,1
1203-Trips-Weekday-20-0001100,20120615,2
1203-Trips-Weekday-20-1110000,20120511,1
1203-Trips-Weekday-20-1110000,20120518,1
1203-Trips-Weekday-20-1110000,20120601,1
1203-Trips-Weekday-20-1110000,20120615,2
1203-Trips-Weekday-20-1111000,20120511,1
1203-Trips-Weekday-20-1111000,20120518,1
1203-Trips-Weekday-20-1111000,20120601,1
1203-Trips-Weekday-20-1111000,20120615,2
1203-Trips-Weekday-21,20120615,1
1203-Trips-Weekday-21-0000100,20120615,1
1203-Trips-Weekday-21-0001100,20120615,1
1203-Trips-Weekday-21-1110000,20120615,1
1203-Trips-Weekday-21-1111000,20120615,1
1203-Trips-Weekday-23,20120518,2
1203-Trips-Weekday-23,20120521,2
1203-Trips-Weekday-23,20120601,2
1203-Trips-Weekday-23-0000100,20120518,2
1203-Trips-Weekday-23-0000100,20120521,2
1203-Trips-Weekday-23-0000100,20120601,2
1203-Trips-Weekday-23-0001100,20120518,2
1203-Trips-Weekday-23-0001100,20120521,2
1203-Trips-Weekday-23-0001100,20120601,2
1203-Trips-Weekday-23-1110000,20120518,2
1203-Trips-Weekday-23-1110000,20120521,2
1203-Trips-Weekday-23-1110000,20120601,2
1203-Trips-Weekday-23-1111000,20120518,2
1203-Trips-Weekday-23-1111000,20120521,2
1203-Trips-Weekday-23-1111000,20120601,2
