route_id,service_id,trip_id,trip_headsign,direction_id
1-1203,1203-Trains-Saturday-98,3473168-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473169-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473170-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473171-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473172-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473173-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473174-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473175-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473176-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473177-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473178-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473179-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473180-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473181-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473182-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473183-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473184-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473185-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473186-1203-Trains-Saturday-98,,0
1-1203,1203-Trains-Saturday-98,3473187-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473188-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473189-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473190-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473191-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473192-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473193-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473194-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473195-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473196-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473197-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473198-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473199-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473200-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473201-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473202-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-98,3473203-1203-Trains-Saturday-98,,1
1-1203,1203-Trains-Saturday-99,2871301-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871302-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871303-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871304-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871305-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871306-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871307-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871308-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871309-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871310-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871311-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871312-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871313-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871314-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871315-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871316-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871317-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871318-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871319-1203-Trains-Saturday-99,,0
1-1203,1203-Trains-Saturday-99,2871320-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871321-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871322-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871323-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871324-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871325-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871326-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871327-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871328-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871329-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871330-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871331-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871332-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871333-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871334-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871335-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Saturday-99,2871336-1203-Trains-Saturday-99,,1
1-1203,1203-Trains-Sunday-98,3473082-1203-Trains-Sunday-98,,0
1-1203,1203-Trains-Sunday-98,3473083-1203-Trains-Sunday-98,,0
1-1203,1203-Trains-Sunday-98,3473084-1203-Trains-Sunday-98,,0
1-1203,1203-Trains-Sunday-98,3473085-1203-Trains-Sunday-98,,0
1-1203,1203-Trains-Sunday-98,3473086-1203-Trains-Sunday-98,,0
