service_id,date,exception_type
1,20120428,1
1,20120505,1
1,20120512,1
1,20120519,1
1,20120526,1
1,20120602,1
1,20120609,1
1,20120616,1
1,20120623,1
1,20120630,1
1,20120707,1
1,20120714,1
1,20120721,1
1,20120728,1
1,20120804,1
1,20120811,1
1,20120818,1
1,20120825,1
1,20120901,1
1,20120908,1
1,20120915,1
1,20120922,1
1,20120929,1
1,20121006,1
1,20121013,1
2,20120429,1
2,20120506,1
2,20120513,1
2,20120520,1
2,20120527,1
2,20120603,1
2,20120610,1
2,20120617,1
2,20120624,1
2,20120701,1
2,20120708,1
2,20120715,1
2,20120722,1
2,20120729,1
2,20120805,1
2,20120812,1
2,20120819,1
2,20120826,1
2,20120902,1
2,20120909,1
2,20120916,1
2,20120923,1
2,20120930,1
2,20121007,1
2,20121014,1
3,20120423,1
3,20120424,1
3,20120425,1
3,20120426,1
3,20120427,1
3,20120430,1
3,20120501,1
3,20120502,1
3,20120503,1
3,20120504,1
3,20120507,1
3,20120508,1
3,20120509,1
3,20120510,1
3,20120511,1
3,20120514,1
3,20120515,1
3,20120516,1
3,20120517,1
3,20120518,1
3,20120521,1
3,20120522,1
3,20120523,1
3,20120524,1
3,20120525,1
3,20120528,1
3,20120529,1
3,20120530,1
3,20120531,1
3,20120601,1
3,20120604,1
3,20120605,1
3,20120606,1
3,20120607,1
3,20120608,1
3,20120611,1
3,20120612,1
3,20120613,1
3,20120614,1
3,20120615,1
3,20120618,1
3,20120619,1
3,20120620,1
3,20120621,1
3,20120622,1
3,20120625,1
3,20120626,1
3,20120627,1
3,20120628,1
3,20120629,1
3,20120702,1
3,20120703,1
3,20120704,1
3,20120705,1
3,20120706,1
3,20120709,1
3,20120710,1
3,20120711,1
3,20120712,1
3,20120713,1
3,20120716,1
3,20120717,1
3,20120718,1
3,20120719,1
3,20120720,1
3,20120723,1
3,20120724,1
3,20120725,1
3,20120726,1
3,20120727,1
3,20120730,1
3,20120731,1
3,20120801,1
3,20120802,1
3,20120803,1
3,20120806,1
3,20120807,1
3,20120808,1
3,20120809,1
3,20120810,1
3,20120813,1
3,20120814,1
3,20120815,1
3,20120816,1
3,20120817,1
3,20120820,1
3,20120821,1
3,20120822,1
3,20120823,1
3,20120824,1
3,20120827,1
3,20120828,1
3,20120829,1
3,20120830,1
3,20120831,1
3,20120903,1
3,20120904,1
3,20120905,1
3,20120906,1
3,20120907,1
3,20120910,1
3,20120911,1
3,20120912,1
3,20120913,1
3,20120914,1
3,20120917,1
3,20120918,1
